DomainName	Company	Category	Description	
185.2.100.179	Contabo GmbH	Internet Hosting	Contabo offers professional hosting solutions for all your needs - whether for business or private applications, for Internet beginners or experts with top web hosting requirements. We bring our customers online: Our product range includes classic web hosting solutions at discount prices. We provide dedicated servers (root server), virtual private machines, webspace and colocation services with high performance, high reliability, in any imaginable variety and size	
200summit.com	Lead Forensics	Lead Generation	Lead Forensics is lead Generation Software that can make a real difference to your ROI and ultimately your business.	
247inc.net	[24]7	Customer Engagement	Third-party contact center and customer lifecycle management services provider	
247realmedia.com	Xaxis	Advertising	Xaxis is a global digital media platform that programmatically connects advertisers and publishers to audiences across all addressable channels.	
254a.com	Yieldr	Advertising	YD is a performance display advertising company for direct advertisers. YD is Europe&#146;s first independent buyer of RTB display advertising. YD is founded early 2008 in Amsterdam, YD's founding team members are techsavy passionates with backgrounds in performance based online advertising, e-commerce and cloudbased erp solutions.	
2mdn.net	Google	Advertising	Doubleclick is a business owned by Google that makes it money from online advertisers and publishers.	
2o7.net	Adobe Systems Incorporated	Analytics	Adobe analytics services help companies measure and understand how you use their apps, websites, social networking pages, and advertising campaigns. Adobe on-site personalization services allow companies to test new content and make their websites, apps, social networking pages, or emails more relevant to you.	
360yield.com	Improve Digital	Advertising	Improve Digital is Europe's leading independent provider of real-time advertising technology.  Committed to increasing revenue for media owners, Improve Digital provides an innovative platform to automate and improve the monetisation of advertising and audience, across all screens, and through all public and private sales channels.  The company works with over 100 of the top publishers and media owners in Europe and, through them, supports the marketing efforts of tens of thousands of advertisers.  In 2012, Improve Digital became part of PubliGroupe, a global leader in marketing services.	
365dm.com	365 Media Group Limited	Sports News	365 Media Group Limited, owned by British Sky Broadcasting. 365 Media Group is sports media company providing a network of sports news and content websites. The company is also involved in content syndication to other media owners and mobile network operators.	
365webservices.co.uk	365 Tech Services	Internet Hosting	365 Tech Services is a web hosting company in Blackburn Lancashire specialising in website design, e-commerce websites, seo and much more. Give us a try and see how you can save money.	
3lift.com	TripleLift	Advertising	An alternative to display ads, TripleLift is a native advertising technology company that helps brands tell engaging stories though visual content marketing	
9msn.com.au	ninemsn Pty. Ltd	Web Search	ninemsn Pty. Ltd. operates as an online media company, provides MSN online services with TV and magazine brands in Australia.	
abmr.net	Adroit Digital Solutions	Advertising	We unlock the power of shared data to transform digital advertising using collective, commerce-centric data, powerful analytics and media-buying savvy.	
acq.io	Acquisio Inc.	Advertising	From PPC bid management to search retargeting and facebook ad management, Acquisio is the industry's leading platform for ad agencies. Maximize your online ad ROI.	
active-agent.com	Active Agent AG	Advertising	Active Agent is your Demand Side Platform for an easy, transparent and safe handling of your advertising campaigns in realtime & Data Driven Advertising environment. You have direct access to all relevant Sell Side Platforms and AdExchanges and enhance your campaign radius to your entire audience reach. Active Agent is your intelligent negotiator for a value-oriented and controlled media buying process. A tool for all communication goals: display, mobile, video and social.	
actonsoftware.com	Act-On Software Inc.	Marketing Platform	Act-On is a marketing automation software platform with email marketing, lead nurturing, lead scoring, CRM integration, social media &amp; tracking tools.	
acxiom-online.com	Acxiom Corporation	Advertising	Acxiom Corporation is a marketing technology and services company.	
ad6media.fr	Ad6Media	Advertising	Ad6Media, the expert audience monetization combining the power of a premium network of innovative formats CPM paid throughout the year.	
adadvisor.net	Neustar	Analytics	Neustar PlatformOne is an integrated marketing analytics platform that provides a complete, accurate, real-time portrait of your customer.	
adadyn.com	Ozone Media	Advertising	Execute programmatic media buys with a budget you choose. Adadyn removes the cost barrier into programmatic advertising.	
adalyser.com	OneSoon Ltd	Analytics	Adalyser improves on current systems by providing media agencies with a single easy to use cloud-based analysis and reporting tool for all offline and online advertising.	
adap.tv	Adap.tv	Advertising	Adap.tv Powering Video Advertising.	
addthis.com	AddThis	Social Media	Free website plugins like share buttons, follow buttons and content recommendations to help you get likes, shares and followers and keep them coming back.	
addthisedge.com	AddThis	Social Media	Free website plugins like share buttons, follow buttons and content recommendations to help you get likes, shares and followers and keep them coming back.	
addtoany.com	Micropat	Social Media	Get sharing buttons for your website visitors to share content on any social sharing service. AddToAny is the universal sharing platform for websites and apps.	
adeasy.ru	AdEasy	Advertising	AdEasy - hour front advertising sales. Universal advertising service that provides as sample placement on the premium sites and through-traffic purchase advertising network.	
adextent.com	AdExtent	Advertising	AdExtent is a new data driven platform that enables advertisers and agencies to run highly targeted display campaigns across the Real-Time Bidding Exchanges.	
adform.net	Adform	Advertising	Adform brings brand advertising to the programmatic era at scale, making display advertising simple, relevant and rewarding!	
adinsight.com	ResponseTap	Analytics	Since 2008, ResponseTap has provided pioneering call tracking services offering marketing specialists the opportunity to understand which campaigns drive offline phone calls to their businesses. In 2010 we launched our flagship product which combines web analytics and call tracking to bridge the online offline divide. ResponseTap originally traded in the UK under the name of AdInsight, but re-branded to ensure the company name better reflected the wider company vision; we analyse all marketing channels not just a customers’ response to advertising.	
adis.ws	Ampliance Ltd	Marketing Platform	Engage and excite with interactive sales & marketing campaigns that drive customers into high conversion product and promotional pages. Synchronise rich interactive campaign media including carousels, banners and look-books across landing and category pages, as well as off-site destinations like Facebook and affiliate sites. Schedule and optimise campaigns using Amplience Campaign Manager, test multiple variants and use advanced interactions, animations and calls-to-action to draw customers into deeper, more valuable relationships.	
adition.com	Adition Technologies AG	Advertising	Premium adserving technology for online marketers, media agencies and website operators comes from Düsseldorf.	
adizio.com	Admedo	Advertising	nline Advertising Simplified With a Display and Mobile Self Serve Platform That Makes it Easy to Set Up Campaigns in Minutes.	
adkontekst.pl	Adkontekst	Advertising	Adkontekst - contextual advertising network behavioral emitted partner websites. Contextual advertising, behavioral and retargeting intekstowa. The network is managed by Netsprint.	
adlooxtracking.com	Adloox	Advertising	Adloox is the only Premium Ad Verification company. Created in 2009, Adloox offers the deepest Brand Safety, Fraud and Viewability data analysis in the digital market today. Adloox has developed its own Auditing Index, allowing advertisers, agencies, trading desks and ad networks to optimise their campaign efficiency on the fly, and detect the most granular domain/site level inefficiencies in real time.	
adlux.com	Adlux Pty Ltd	Advertising	NO LONGER TRADING - AdLux was Australia's largest independent Search Network. AdLux delivers over 1 Billion unique searches every month. Fresh eyeballs, high rankings, low CPCs , and the most profitable sponsored listings in the Australian search market-place.	
admailtiser.com	ConvertMedia	Advertising	ConvertMedia is a Self Serve Performance Ad Platform. We provide effective revenue and yield management solutions for media sellers and buyers.	
admaym.com	WideOrbit Inc. (Admeta)	Marketing Platform	WideOrbit Inc., the leading provider of advertising management software for media companies.  Admeta is a leading provider of solutions for digital programmatic sell-side platforms based in Sweden.	
admedo.com	Admedo	Advertising	Admedo makes programmatic advertising accessible and more profitable for your business. RTB Display, Mobile, Video and Facebook.	
adnetwork.vn	Ambient Corp. (Ericcson)	Advertising	Ambient Digital is the largest, fastest growing Ad Network in South East Asia.	
adnxs.com	AppNexus	Advertising	Adnxs.com is run by AppNexus, a company that provides technology, data and analytics to help companies buy and sell online display advertising.	
adobe.com	Adobe Systems Incorporated	CDN Images	Here you can access, view, and share creative files saved in Adobe Creative Cloud from virtually any internet-connected device.	
adobedtm.com	Adobe Systems Incorporated	Tag Management	Dynamic tag management gives marketers intuitive tools to quickly and easily manage an unlimited number of Adobe and third-party tags. You'll have more control and flexibility to optimize virtually anything online, all while reducing the dependence on IT resources.	
adobetag.com	Adobe Systems Incorporated	Tag Management	Adobe Marketing Cloud gives customers dynamic tag management — the market-leading tool that lets you collect the right data and react in real time.	
adoftheyear.com	CloudVPS	Internet Hosting	Formally XL Internet Services B.V., CloudVPS is the number one cloud provider in the Netherlands. Whether you need a single machine or a complex load-balanced cluster, our flexible cloud lets you create the Virtual Private Servers (VPSes) and Cloud Storage you need quickly and securely. We are leading the market with our implementation of the revolutionary OpenStack technology and in the area of cloud certification.	
adrdgt.com	Appnexus	Advertising	AppNexus technology powers the most innovative trading solutions and marketplaces for Internet advertising. It’s what the world’s most influential advertising and media companies build their businesses on, and what enables them to deliver the ads that deliver the content that people love.  	
adrianquevedo.com	Adrian Quevedo	Web Design	Adrian Quevedo, Web Designer and Interactive Developer from Bogotá – Colombia. He specializes in front-end web development, specifically HTML5, CSS, jQuery and WordPress.	
adroll.com	AdRoll	Advertising	AdRoll is the most widely used retargeting platform in the world. More brands trust AdRoll to retarget site visitors with ads across Facebook, Twitter, mobile, and the web.	
adrsp.net	Oracle Corporation	All	?	
